,Año,Mes,Sede,Producto,Peso.Kg.,Tipo.de.Envase,Pais.Origen
3262,2026,2,"PUERTO DE MATARANI , AREQUIPA","TRACTOR USADO, con motor de potencia superior a 33 kW pero inferior o igual a 75 kW",1810,UNIDADES,JAPON
3263,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),87000,SACO(S),BOLIVIA
3264,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",114000,SACO(S),BOLIVIA
3265,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",113000,SACO(S),BOLIVIA
3266,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",116000,SACO(S),BOLIVIA
3267,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",52344,SACO(S),CANADA
3268,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ZANAHORIA, semilla",1125.2,SACO(S),CHILE
3269,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),24000,SACO(S),BOLIVIA
3270,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRIGO, grano",1106230,GRANEL,CANADA
3271,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",19551,CAJA(S),PORTUGAL
3272,2026,2,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29015,SACO(S),BRASIL
3273,2026,2,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",28745,SACO(S),BRASIL
3274,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MAIZ AMARILLO DURO, grano",5199040,GRANEL,ARGENTINA
3275,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"SOYA, torta",15795020,GRANEL,PARAGUAY
3276,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",108000,SACO(S),BOLIVIA
3277,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
3278,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
3279,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",117000,SACO(S),BOLIVIA
3280,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116000,SACO(S),BOLIVIA
3281,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116000,SACO(S),BOLIVIA
3282,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",143500,SACO(S),BOLIVIA
3283,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"GIRASOL, torta",16410,GRANEL,BOLIVIA
3284,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",116000,SACO(S),BOLIVIA
3285,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",157559,FARDOS,EEUU
3286,2026,2,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,CAJA(S),CHILE
3287,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3288,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",17000,CAJA(S),ECUADOR
3289,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",15200,CAJA(S),ECUADOR
3290,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",24721,SACO(S),CANADA
3291,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARVEJA, grano partido",99972,SACO(S),CANADA
3292,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARVEJA, grano entero",74979,SACO(S),CANADA
3293,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",184163,SACO(S),CANADA
3294,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",25991,SACO(S),CANADA
3295,2026,2,"SANTA ROSA, TACNA","CIRUELA, fruto fresco",22880,CAJA(S),CHILE
3296,2026,2,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22148,CAJA(S),CHILE
3297,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, madera aserrada con algún proceso de la CRF2",23024,PAQUETES,ARGENTINA
3298,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"NARANJA, fruto fresco",18000,CAJA(S),EEUU
3299,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"SANDIA, semilla",4.436,SACHETS,HOLANDA
3300,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
3301,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27990,GRANEL,BOLIVIA
3302,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",84000,GRANEL,BOLIVIA
3303,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",55600,GRANEL,BOLIVIA
3304,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28500,GRANEL,BOLIVIA
3305,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
3306,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28500,GRANEL,BOLIVIA
3307,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
3308,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",56000,GRANEL,BOLIVIA
3309,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",53880,GRANEL,BOLIVIA
3310,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",145000,SACO(S),BOLIVIA
3311,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",29072,SACO(S),BOLIVIA
3312,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",168000,SACO(S),BOLIVIA
3313,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CHIA, grano",25000,SACO(S),PARAGUAY
3314,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",18522,CAJA(S),EEUU
3315,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
3316,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27000,GRANEL,BOLIVIA
3317,2026,2,"SANTA ROSA, TACNA","DURAZNO, fruto fresco",23040,CAJA(S),CHILE
3318,2026,2,"PUERTO DE PISCO , ICA","GIRASOL, torta",4015550,GRANEL,CHILE
3319,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",113500,SACO(S),BOLIVIA
3320,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",143000,SACO(S),BOLIVIA
3321,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",116000,SACO(S),BOLIVIA
3322,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",113500,SACO(S),BOLIVIA
3323,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PIMIENTO, semilla",0.035,SACHETS,HOLANDA
3324,2026,2,"SANTA ROSA, TACNA","DURAZNO, fruto fresco",21504,CAJA(S),CHILE
3325,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PERA, fruta fresca",23040,CAJA(S),CHILE
3326,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ARANDANO, planta in vitro",220,FRASCO(S),MEXICO
3327,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ARANDANO, planta in vitro",240,FRASCO(S),MEXICO
3328,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"CLAVEL, esqueje enraizado",478,CAJA(S),ESPAÑA
3329,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),3.00E+05,BIG BAG,COLOMBIA
3330,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),97500,SACO(S),COLOMBIA
3331,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LINAZA, grano",21500,SACO(S),CANADA
3332,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"MANI, grano sin cáscara",58000,SACO(S),BOLIVIA
3333,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",143000,SACO(S),BOLIVIA
3334,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MAIZ REVENTON, grano",104000,SACO(S),ARGENTINA
3335,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",74978,SACO(S),CANADA
3336,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",78300,PALETAS,SRI LANKA
3337,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",24060,PALETAS,INDIA
3338,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",11200,CAJA(S),ECUADOR
3339,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27000,GRANEL,BOLIVIA
3340,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PEPINILLO, semilla",10.94,SACHETS,ESPAÑA
3341,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ZAPALLITO ITALIANO (CALABACIN), semilla",4.72,SACHETS,ESPAÑA
3342,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRIGO, gluten",24000,BOLSAS,POLONIA
3343,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",22000,CAJA(S),ECUADOR
3344,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3345,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
3346,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",115000,SACO(S),BOLIVIA
3347,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,TURBA,26846,PALETAS,LETONIA
3348,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CEBOLLA, triturada o pulverizada",12200,CAJA(S),CHINA
3349,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJO, granulado o secado industrial",1200,CAJA(S),CHINA
3350,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJO, polvo",13325,CAJA(S),CHINA
3351,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"BETARRAGA, polvo",500,CAJA(S),CHINA
3352,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PEREJIL, deshidratado",50,CAJA(S),CHINA
3353,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TOMATE, polvo",200,CAJA(S),CHINA
3354,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TOMATE, seco industrial",50,CAJA(S),CHINA
3355,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Papa, secada industrialmente",220,CAJA(S),CHINA
3356,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, secada industrialmente",25,CAJA(S),CHINA
3357,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PAPRIKA,  triturado o pulverizado",200,BOLSAS,CHINA
3358,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJI TABASCO (=AJI JALAPEÑO, AJI MONO),  polvo",200,CAJA(S),CHINA
3359,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AJI, polvo",300,BOLSAS,CHINA
3360,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",96000,PALETAS,INDIA
3361,2026,2,PUESTO DE CONTROL- CEBAF,"ROSA, flores frescas cortadas",4472,CAJA(S),ECUADOR
3362,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",95140,PAQUETES,SRI LANKA
3363,2026,2,"SANTA ROSA, TACNA","KIWI, fruto fresco",22464,CAJA(S),CHILE
3364,2026,2,"SANTA ROSA, TACNA","MANZANA, fruto fresco",22344,CAJA(S),CHILE
3365,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",199956,PALETAS,SRI LANKA
3366,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE, semilla",17.12,SACO(S),ESPAÑA
3367,2026,2,"SANTA ROSA, TACNA","NECTARINA, fruto fresco",23040,CAJA(S),CHILE
3368,2026,2,"SANTA ROSA, TACNA","CIRUELA, fruto fresco",23040,CAJA(S),CHILE
3369,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MAIZ REVENTON, grano",83462,SACO(S),EEUU
3370,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"Madera flotante para acuarios, de especies dinstitos a tropicales, con algún proceso de la CRF2",98.6,CAJA(S),INDIA
3371,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28000,GRANEL,BOLIVIA
3372,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",56000,GRANEL,BOLIVIA
3373,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",29000,GRANEL,BOLIVIA
3374,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27400,GRANEL,BOLIVIA
3375,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),86000,SACO(S),BOLIVIA
3376,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),56000,SACO(S),BOLIVIA
3377,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),87000,SACO(S),BOLIVIA
3378,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",52500,SACO(S),CHILE
3379,2026,2,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29700,SACO(S),BRASIL
3380,2026,2,"PUERTO DE SALAVERRY, LA LIBERTAD","MAIZ AMARILLO DURO, grano",34186890,GRANEL,ARGENTINA
3381,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE, semilla",0.113,SACHETS,EEUU
3382,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE, semilla",0.005,SACHETS,EEUU
3383,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE DE CASCARA(=TOMATILLO), semilla",0.003,SACHETS,EEUU
3384,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",75000,SACO(S),BOLIVIA
3385,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",26000,SACO(S),CHILE
3386,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",116000,SACO(S),BOLIVIA
3387,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",145000,SACO(S),BOLIVIA
3388,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, rallado seco industrial",100,SACO(S),FILIPINAS
3389,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, harina",750,SACO(S),FILIPINAS
3390,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"ALFALFA, pellets",28000,SACO(S),ARGENTINA
3391,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PAPA, hojuelas y pellets",20160,BOLSAS,ALEMANIA
3392,2026,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3393,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3394,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3395,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",10800,CAJA(S),ECUADOR
3396,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",130000,SACO(S),BRASIL
3397,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, fibra (para sustrato)",72000,PALETAS,INDIA
3398,2026,2,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3399,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",20120,CAJA(S),ECUADOR
3400,2026,2,"IÑAPARI, MADRE DE DIOS","NUEZ DEL BRASIL, con cáscara seca al natural",29735,SACO(S),BRASIL
3401,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruto fresco",19747,CAJA(S),CHILE
3402,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MADERA, monturas y mangos de herramientas, monturas y mangos de cepillos, brochas o escobas, de madera; hormas, ensanchadores y tensores del calzado, de madera ; con algún proceso de la CRF 2",28096.2,UNIDADES,HONG KONG
3403,2026,2,"PUERTO DE PISCO , ICA","PINO, postes de madera con algun proceso de la CRF 2",45717,PAQUETES,EEUU
3404,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",1.00E+05,SACO(S),URUGUAY
3405,2026,2,"PUERTO DE PISCO , ICA","PINO, postes de madera con algun proceso de la CRF 2",33148.53,PIEZAS,EEUU
3406,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",145000,SACO(S),BOLIVIA
3407,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",28513,SACO(S),BOLIVIA
3408,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",20580,CAJA(S),EEUU
3409,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",20580,CAJA(S),EEUU
3410,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"MANI, grano sin cáscara",28000,SACO(S),BOLIVIA
3411,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PERA, fruta fresca",23040,CAJA(S),CHILE
3412,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"ROSA, flores frescas cortadas",778,CAJA(S),ECUADOR
3413,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),53000,SACO(S),GUATEMALA
3414,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),106000,SACO(S),GUATEMALA
3415,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"TOMATE, semilla",0.63,BOLSAS,EEUU
3416,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",13000,CAJA(S),ECUADOR
3417,2026,2,PUESTO DE CONTROL- CEBAF,"PITAHAYA, fruto fresco",22000,CAJA(S),ECUADOR
3418,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARVEJA, grano partido",24721,SACO(S),CANADA
3419,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"SANDIA, semilla",0.915,SACHETS,EEUU
3420,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PIMIENTO, semilla",29.903,SACHETS,CHILE
3421,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",1.00E+05,SACO(S),URUGUAY
3422,2026,2,"PUERTO DE PAITA , PIURA","CLAVO DE OLOR, entera seca al natural",10500,CAJA(S),INDONESIA
3423,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,RESIDUO DE DESTILERIA,280619.5,GRANEL,EEUU
3424,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),106000,SACO(S),COLOMBIA
3425,2026,2,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,"PIMIENTO, semilla",0.189,SACHETS,HOLANDA
3426,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LINAZA, grano",24040,SACO(S),CANADA
3427,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),145000,SACO(S),BOLIVIA
3428,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),116000,SACO(S),BOLIVIA
3429,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),145000,SACO(S),BOLIVIA
3430,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°),203000,BIG BAG,BOLIVIA
3431,2026,2,"PUERTO DE SALAVERRY, LA LIBERTAD","MAIZ AMARILLO DURO, grano",18468100,GRANEL,ARGENTINA
3432,2026,2,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, torta",3377330,GRANEL,ARGENTINA
3433,2026,2,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, torta",13188160,GRANEL,ARGENTINA
3434,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, grano",58000,SACO(S),BOLIVIA
3435,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PIMIENTA, grano",27000,SACO(S),BRASIL
3436,2026,2,"PUERTO DE SALAVERRY, LA LIBERTAD","SOYA, torta",8080000,GRANEL,ARGENTINA
3437,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",145000,SACO(S),BOLIVIA
3438,2026,2,"PUERTO DE PAITA , PIURA","CANELA, corteza entera seca al natural",15000,CAJA(S),SRI LANKA
3439,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"PINO, postes de madera con algun proceso de la CRF 2",64800,PAQUETES,CHILE
3440,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"CHIA, grano",19000,SACO(S),PARAGUAY
3441,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",20580,CAJA(S),EEUU
3442,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"TRIGO, harina",10000,SACO(S),CHILE
3443,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"COCO, seco industrial",18000,SACO(S),VIETNAM
3444,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",58000,SACO(S),BOLIVIA
3445,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",325000,SACO(S),URUGUAY
3446,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"ARROZ, grano pilado",325000,SACO(S),URUGUAY
3447,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, torta",27000,GRANEL,BOLIVIA
3448,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"GARBANZO, grano",52618,SACO(S),CANADA
3449,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"LENTEJA, grano",208656,SACO(S),CANADA
3450,2026,2,"SANTA ROSA, TACNA","FREJOL ADZUKI, grano",108000,BOLSAS,ARGENTINA
3451,2026,2,OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO,"MANZANA, fruta fresca",20580,CAJA(S),EEUU
3452,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",114000,SACO(S),BOLIVIA
3453,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",113500,SACO(S),BOLIVIA
3454,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",114000,SACO(S),BOLIVIA
3455,2026,2,PUESTO DE CONTROL TERRESTRE DESAGUADERO,"SOYA, harina",114000,SACO(S),BOLIVIA
